sourceId,推广组,推广计划,创意,点击日期,点击时间,广告位,URL,城市,省,exchange,竞价模式,扣费(元)
ftNxZQxqrPy0,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,12:34:37,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/322qtgoq14r9do90o42r125ru1i?from=mini,南京,江苏,MAX精选,CPC,3.49
ftnY4a1JZGd0,A-36计2-守卫家园-广告位计划,已测广告位2.88,300x250.swf,2017/05/22,16:21:14,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/37h2djpmmug9pgbnvd38gsghet8?from=mini,广州,广东,MAX精选,CPC,3.07
ftohD0IUvzj0,A-36计2-防御为王-广告位计划,导航_娱乐2,防御为王300x250.swf,2017/05/22,16:37:45,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/121768,泸州,四川,MAX精选,CPC,0.87
ftOtoL0hrDy0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:09:19,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,厦门,福建,MAX精选,CPC,0.5
ftoZmBdYzU00,A-36计2-守卫家园-广告位计划,导航_娱乐频道搜索框下方矩形,300x250.swf,2017/05/22,12:38:03,导航_内容页_首屏_300x250_30k|娱乐频道搜索框下方矩形,http://yule.360.cn/,烟台,山东,MAX精选,CPC,2.87
ftPGSaRu4J00,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:17,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|今日特卖_单品人群定向,http://se.360.cn/setm/jrtm-web.html,其他,北京,MAX精选,CPC,1.25
ftPK40vQEoo0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:21:37,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|今日特卖_单品人群定向,http://se.360.cn/setm/jrtm-web.html,广州,广东,MAX精选,CPC,0.93
ftQgbzZHTVI0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,12:10:43,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,其他,上海,MAX精选,CPC,1.68
ftqT0FqySBj0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:35,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,其他,上海,MAX精选,CPC,0.81
ftrJBz76OiU0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:30,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,深圳,广东,MAX精选,CPC,0.84
ftRLywwLTmd0,A-36计2-防御为王-广告位计划,导航_娱乐2,防御为王300x250.swf,2017/05/22,16:33:54,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/136397?realtime,钦州,广西,MAX精选,CPC,2.81
ftsHxUF7WWy0,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,08:35:34,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,null,其他,其他,MAX精选,null,0
ftSukKT9vP40,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,12:58:56,mini弹窗导流_其他_其他_300x250_矩形_30k|详情页右侧中部,http://yule.360.cn/content/137277?from=mini,伊犁州,新疆,MAX精选,CPC,1.91
ftUak0o3D0d0,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,16:25:51,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/36563jhad3i9ne8qk9cngdun9an?from=browser,常州,江苏,MAX精选,CPC,3.13
ftVCVYpmtyU0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:05:54,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,其他,其他,MAX精选,CPC,0.77
ftvnvw4vJTI0,A-36计2-守卫家园-广告位计划,浏览器min弹窗-北京时间右侧-固图300*250,300x250.swf,2017/05/22,04:56:21,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/367pluuv4lh9hiog1rtphrci3r6?from=mini,其他,其他,MAX精选,CPC,3.18
ftWWTsnG5Wr0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:09:44,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,广州,广东,MAX精选,CPC,0.5
ftXgzhrdIV40,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:09:06,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,黔东南州,贵州,MAX精选,CPC,0.5
ftYR0kxOneU0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:41,360导航娱乐_其他_其他_商品推荐广告尺寸_矩形_30k|娱乐详情页图加广告js,http://yule.360.cn/content/135656?realtime,其他,北京,MAX精选,CPC,0.7
ftZAFoti4fG0,A-36计2-橱窗,36计2场景,场景橱窗广告创意,2017/05/22,00:01:37,360浏览器_首页_首屏_商品推荐广告尺寸_矩形_30k|猜你喜欢右上角,haosou.com,银川,宁夏,MAX精选,CPC,1.57
